Player,Team,Position,Age,Market value,Contract expires,Minutes played,Passport country,Foot,Height,Weight,On loan,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,PAdj Interceptions,Fouls per 90,xG per 90,Shots per 90,"Shots on target, %","Goal conversion, %","Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Touches in box per 90,Progressive runs per 90,Received passes per 90,Received long passes per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,Lateral passes per 90,Short / medium passes per 90,Long passes per 90,"Average pass length, m",xA per 90,Shot assists per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %"
Maxi Gómez,Valencia,CF,24,35000000,2024-06-30,2307,Uruguay,right,186,87,no,1.95,32,7.14,45.9,0.35,1.82,1.79,0.22,1.52,53.85,25.641,21.43,0.9,60.87,3.08,0.35,8.19,2.03,12.37,69.72,2.54,43.08,3.04,4.02,10.73,1.21,16.59,0.05,0.31,1.72,45.45,0.82,42.86,0.62,0.2,1.09,82.14
C. Hudson-Odoi,Chelsea,"LWF, RWF, RW",20,35000000,2024-06-30,970,"England, Ghana",right,178,79,no,3.71,52.5,1.02,18.18,0.32,3,0.93,0.15,2.04,18.18,4.545,29.63,8.91,61.46,3.8,3.06,28.86,2.13,41.66,82.18,5.66,75.41,11.69,17.16,34.52,2.88,18.07,0.27,1.67,2.41,84.62,5.1,56.36,2.23,1.48,6.22,88.06
M. Sabitzer,RB Leipzig,"RW, RCMF3, RCMF",26,35000000,2022-06-30,2632,Austria,right,178,76,no,4.89,58.74,1.57,43.48,0.44,3.9,0.68,0.27,2.29,35.82,13.433,35.71,2.22,53.85,2.43,1.16,36.14,1.23,48.15,77.06,15.18,67.79,8.72,15.93,39.94,5.27,18.99,0.14,1.4,7.01,68.78,4.55,51.13,1.85,1.16,9.95,75.26
A. Pléa,Borussia M'gladbach,"CF, LAMF",27,35000000,2023-06-30,2259,"France, Mali",right,181,79,no,3.35,60.71,3.59,31.11,0.11,2.54,0.88,0.41,2.91,46.58,13.699,31.91,5.22,47.33,4.14,1.31,20.32,1.91,27.21,77.16,5.58,70,5.5,8.25,24.18,1.35,15.96,0.25,1.31,2.83,78.87,2.63,57.58,1.71,0.68,3.98,77
A. Belotti,Torino,CF,26,35000000,2022-06-30,3222,Italy,right,181,72,no,3.74,50,6.62,44.3,0.56,2.15,1.79,0.48,2.85,41.18,15.686,20.9,4.97,56.74,4.78,2.32,11.82,1.76,18.13,71.03,3.83,67.15,4.33,4.47,15.7,0.67,15.99,0.11,0.89,1.65,64.41,1.82,41.54,1.09,0.36,1.96,74.29
A. Lacazette,Arsenal,CF,29,35000000,2022-06-30,2026,"France, Guadeloupe",right,176,77,no,4.62,43.27,3.55,26.25,0.47,2.2,2,0.42,2.09,53.19,21.277,36.84,2.62,50.85,4.04,0.71,14.93,1.11,20.97,77.33,4.26,56.25,5.33,5.95,19.19,1.2,15.87,0.13,0.98,1.91,51.16,1.6,63.89,1.2,0.31,2,71.11
S. Agüero,Manchester City,CF,32,35000000,2021-06-30,1559,"Argentina, Spain",right,173,70,no,1.5,61.54,1.04,22.22,0,1.91,0.46,0.74,3.98,37.68,23.188,38.89,3.58,43.55,6.7,1.56,18.42,0.69,19.92,81.16,4.39,77.63,4.39,5.43,18.7,0.17,13.87,0.11,0.75,1.91,84.85,2.14,75.68,1.79,0.4,2.02,88.57
C. Nkunku,RB Leipzig,"LW, LCMF3, LAMF",23,33000000,2024-06-30,2022,"France, Congo DR",right,175,73,no,4.41,57.58,3.2,34.72,0.19,3.69,1.07,0.26,2.23,48,10,40.54,5.83,45.04,3.29,2.58,23.77,2,30.49,86.42,7.7,83.24,7.88,9.26,27.95,1.11,15.46,0.38,2.45,2.8,84.13,2.49,69.64,2,0.58,4.99,90.18
H. Lozano,Napoli,"CF, RWF, RW",25,33000000,2024-06-30,1119,Mexico,right,175,70,no,4.99,41.94,2.09,38.46,0.37,3.43,1.77,0.42,2.73,38.24,11.765,24,6.84,52.94,5.63,3.54,20.19,1.77,26.3,77.68,3.46,69.77,7.88,8.61,22.04,0.72,17.92,0.2,1.37,0.8,70,2.41,53.33,1.13,0.8,2.09,84.62
N. Fekir,Real Betis,"RW, AMF, CF",27,32000000,2023-06-30,2831,"France, Algeria",left,173,72,no,5.37,51.48,2.26,33.8,0.15,3.05,2.13,0.28,3.12,40.82,7.143,33.33,8.27,61.92,3.24,2.29,20.44,0.95,29.47,84.79,8.77,80.43,5.28,9.12,26.58,1.59,16.81,0.09,0.95,4.2,82.58,2.26,59.15,1.21,0.45,3.94,87.9
Matheus Cunha,Hertha BSC,"CF, LAMF, AMF",21,32000000,2024-06-30,1087,Brazil,right,183,76,no,6.62,45,2.65,21.88,0.62,3.61,2.82,0.48,4.06,46.94,12.245,44.44,8.2,62.63,3.06,2.65,13.74,1.32,21.03,74.41,6.54,69.62,2.82,7.04,18.3,2.15,17.33,0.03,0.58,3.56,74.42,1.9,56.52,1.16,0.25,3.97,79.17
T. Hazard,Borussia Dortmund,"RWF, LWF, CF",27,32000000,2024-06-30,2466,Belgium,right,175,71,no,5.91,55.56,1.86,31.37,0.1,3.53,1.28,0.2,1.72,44.68,14.894,18.18,4.53,57.26,3.32,2.66,31.75,1.57,40.18,81.29,8.76,70.83,11.68,10.47,36.72,1.68,16.37,0.27,1.9,2.55,72.86,2.7,59.46,1.86,0.36,4.53,74.19
A. Kramarić,Hoffenheim,"CF, LCMF3",29,32000000,2022-06-30,1510,Croatia,right,177,73,no,2.03,52.94,1.85,22.58,0.16,2.03,0.42,0.55,2.44,58.54,29.268,32.14,3.16,62.26,3.58,1.97,24.02,1.91,31.23,81.3,6.26,70.48,9.54,9.48,27.89,1.91,16.78,0.15,1.01,3.04,56.86,2.56,51.16,1.37,0.54,3.1,82.69
Á. Di María,PSG,"RW, RWF, RAMF",32,32000000,2021-06-30,2113,"Argentina, Italy",left,180,75,no,3.49,60.98,0.13,0,1.1,3.17,0.51,0.31,3.15,36.49,10.811,39.81,7.54,45.2,4.51,2.94,40.93,2,48.81,76.44,12.69,66.44,9.24,16.87,39.95,4.98,19.03,0.46,2.94,6.13,75,8.18,54.69,3.92,1.66,9.2,84.72
A. Saint-Maximin,Newcastle United,"LW, CF, RW",23,32000000,2026-06-30,1988,"France, Guadeloupe",right,173,67,no,3.3,50.68,1.58,28.57,0.56,1.53,0.77,0.11,2.08,45.65,6.522,33.87,11.32,58.8,2.81,3.8,12.27,1.45,21.1,76.39,4.39,72.16,4.93,7.74,17.43,1.36,18.81,0.13,1.09,1.81,70,2.4,39.62,0.59,0.77,2.54,80.36
A. Rebić,Milan,"LAMF, CF, LW",27,32000000,2025-06-30,1597,Croatia,right,185,78,no,6.31,47.32,2.82,36,0.45,2.4,1.75,0.36,2.42,46.51,25.581,19.3,5.8,53.4,5.92,1.58,17.02,1.41,23.05,62.1,5.3,61.7,4.34,7.33,19.33,0.79,16.69,0.17,1.8,1.86,63.64,3.32,45.76,2.14,0.45,2.59,71.74
Iñaki Williams,Athletic Bilbao,"CF, RAMF",26,30000000,2028-06-30,3079,"Spain, Ghana",right,186,80,no,2.34,53.75,4.06,41.73,0.08,1.75,0.91,0.18,1.29,54.55,13.636,33.78,3.57,50.82,3.04,1.93,12.98,1.87,19.58,73.73,3.98,58.82,5.58,6.08,16.95,0.88,16.95,0.11,0.76,1.4,54.17,1.78,44.26,0.67,0.47,1.93,74.24
Carlos Soler,Valencia,"LW, RW, RCMF",23,30000000,2023-06-30,2205,Spain,right,180,76,no,5.31,45.38,1.55,52.63,0.38,2.82,0.9,0.06,0.78,21.05,10.526,40,1.63,35,1.47,1.1,21.92,0.86,28.45,81.64,7.84,67.19,6.61,8.78,25.71,2.33,17.38,0.05,0.37,3.71,65.93,1.92,63.83,1.27,0.16,4.78,69.23
Gerard Moreno,Villarreal,"CF, RW, RWF",28,30000000,2023-06-30,2922,Spain,left,180,77,no,4,48.46,4.68,41.45,0.29,3.29,1.14,0.39,2.43,43.04,22.785,40,4.34,51.77,3.82,1.14,22.48,2.59,29.75,74.95,5.94,61.14,7.55,11.49,25.44,2.68,19.7,0.2,1.2,3.51,65.79,3.17,57.28,1.85,0.8,4.74,74.03
W. Weghorst,Wolfsburg,CF,28,30000000,2023-06-30,2908,Netherlands,right,197,84,no,3.03,58.16,6.78,54.34,0.49,2.31,1.42,0.51,2.44,49.37,20.253,20,1.61,34.62,4.02,0.43,12.94,2.48,21.54,70.11,5.79,54.01,5.57,5.66,20.86,0.46,14.06,0.07,0.96,3.16,56.86,1.3,42.86,0.96,0.03,2.54,70.73
S. Haller,West Ham United,CF,26,30000000,2024-06-30,2456,Côte d'Ivoire,right,190,86,no,3.85,51.43,15.1,47.57,0.77,2.16,1.72,0.36,1.69,56.52,15.217,22.22,1.65,51.11,3.37,0.59,13.01,1.54,21.36,78.04,4.62,61.9,5.39,5.35,20.41,0.62,14.14,0.06,0.66,2.49,61.76,0.84,65.22,1.17,0.07,1.76,58.33
T. Kubo,Villarreal,"RW, RAMF",19,30000000,2024-06-30,2507,Japan,left,173,67,yes,5.89,58.54,1.62,35.56,0.09,3.53,1.26,0.17,1.94,46.3,7.407,26.32,8.97,55.2,2.73,2.66,16.77,1.04,25.67,73.29,7.68,69.16,4.67,7.83,22.44,0.75,16.67,0.15,1.15,2.19,59.02,2.94,54.88,1.33,0.79,3.73,77.88
J. Correa,Lazio,CF,26,30000000,2024-06-30,2127,"Argentina, Italy",right,188,77,no,2.92,47.83,2.12,34,0.26,1.42,0.76,0.46,3.13,50,12.162,29.41,5.8,50.36,5.2,2.88,22.81,1.31,27.72,84.27,5.5,73.08,6.52,9.18,26.49,0.63,14.97,0.12,1.14,1.95,80.43,2.37,71.43,2.37,0.21,2.62,88.71
L. Bailey,Bayer Leverkusen,"LAMF, LWF, LWB",23,29500000,2023-06-30,1145,Jamaica,left,178,77,no,3.3,30.95,1.97,40,0.54,4.84,1.18,0.33,2.36,40,16.667,27.27,6.37,40.74,3.85,2.04,24.6,2.75,34.59,72.95,6.29,61.25,9.59,11.87,28.3,2.44,18.03,0.21,1.57,2.75,62.86,4.56,50,2.2,1.18,5.03,81.25
S. Bergwijn,Tottenham Hotspur,"LAMF, AMF, LW",23,28000000,2025-06-30,768,"Netherlands, Suriname",right,178,78,no,4.57,51.28,1.05,33.33,0.3,3.28,0.82,0.26,0.94,50,37.5,57.14,3.52,40,2.23,2.46,18.28,0.82,27.54,90.64,4.34,81.08,8.09,7.38,25.78,0.94,13.79,0.09,1.41,1.52,84.62,1.99,82.35,1.17,0.47,2.7,73.91
K. Volland,Monaco,"CF, LAMF",28,28000000,2024-06-30,2166,Germany,left,179,83,no,2.66,59.38,3.28,35.44,0.6,2.15,0.91,0.45,2.74,46.97,15.152,16.33,2.99,62.5,4.65,0.71,16.2,1.45,22.31,72.63,4.86,67.52,5.19,6.65,19.45,0.87,16.92,0.17,0.96,2.41,70.69,2.49,48.33,1.58,0.33,2.74,81.82
André Silva,Eintracht Frankfurt,CF,25,28000000,2023-06-30,1730,Portugal,right,184,74,no,2.65,58.82,5.62,33.33,0.22,1.57,0.78,0.5,2.71,38.46,23.077,33.33,2.24,48.84,4.79,1.3,15.66,2.34,22.99,72.85,5.25,57.43,6.03,5.77,21.69,0.78,13.83,0.19,1.35,2.29,63.64,1.56,50,1.2,0.21,2.18,73.81
H. Barnes,Leicester City,"LW, LWF",22,28000000,2024-06-30,2228,England,right,174,66,no,3.68,57.14,2.87,42.25,0.19,2.32,0.77,0.3,2.5,45.16,9.677,19.15,5.29,56.49,4.48,2.91,22.94,1.41,28.4,79.37,6.3,67.31,8,8.24,25.65,1.05,16.46,0.13,1.29,1.9,68.09,2.87,63.38,2.3,0.36,3.76,80.65
J. Bowen,West Ham United,"RW, RAMF",23,28000000,2025-06-30,979,"England, Wales",left,175,70,no,5.52,65,2.02,22.73,0.61,3.94,0.37,0.19,2.11,30.43,4.348,31.58,5.33,51.72,2.85,2.02,14.16,1.2,21.6,74.89,5.52,73.33,4.78,7.72,16.46,1.93,18.41,0.31,1.29,1.65,66.67,2.57,46.43,0.55,1.01,3.59,74.36
Rafael Leão,Milan,"CF, LAMF, LWF",21,28000000,2024-06-30,1531,"Portugal, Angola",right,188,81,no,2.59,40.91,3.88,36.36,0.09,1.03,0.94,0.32,2.7,36.96,13.043,42.86,7.99,59.56,4.41,2.76,18.46,1.59,25.87,80.23,4.35,75.68,6.76,9.46,22.34,0.71,17.85,0.16,1.53,1.65,71.43,3.06,65.38,1.65,1.23,3.76,81.25
A. Milik,Napoli,CF,26,27000000,2021-06-30,1864,Poland,left,186,78,no,2.41,58,4.01,45.78,0.56,1.53,1.06,0.43,2.9,45,18.333,37.5,1.45,30,4.39,0.39,18.83,1.74,20.28,85,3.33,68.12,7.53,5.41,19.6,0.43,14.76,0.08,0.82,1.45,76.67,1.06,50,0.77,0.1,1.21,64
Pedro Neto,Wolverhampton Wanderers,"LWF, RWF, AMF",20,27000000,2025-06-30,1077,Portugal,left,172,62,no,5.1,60.66,2.42,20.69,0.33,1.66,1,0.16,1.42,35.29,17.647,24.39,7.02,57.14,2.42,3.34,20.64,2.01,30.58,78.96,5.26,71.43,11.2,8.02,26.41,1.17,18.56,0.25,1.09,1.84,59.09,2.09,32,0.84,0.67,3.01,69.44
A. Iwobi,Everton,"RW, LW, LAMF",24,25500000,2024-06-30,1723,England,right,180,75,no,4.6,54.55,0.52,20,0.07,3.28,0.68,0.11,1.1,42.86,4.762,39.62,3.4,53.85,1.83,1.78,20.89,0.47,31.29,76.63,8.41,68.32,6.79,11.54,26.54,2.46,19.24,0.15,1.15,4.13,72.15,3.6,56.52,1.62,0.99,6.69,77.34
